id,name,category,severity,status,message,score,max_score,remediation,reference
NX-MP-026,Advanced Password Hashing (Type 8/9),Password Management,HIGH,FAIL,[FAIL] Required configuration not found: password [89],0,5,"Use Type-8 (PBKDF2-SHA-256) or Type-9 (scrypt) password hashing:
switch(config)# username admin password 8 <password> role network-admin

Type hierarchy (strongest to weakest):
- Type 9: scrypt (strongest, recommended)
- Type 8: PBKDF2-SHA-256 (strong)
- Type 5: SHA-512 (acceptable)
- Type 7: Vigenere (WEAK, easily reversed)
- Type 0: Plaintext (NEVER use)
",Cisco Hardening Guide | Management Plane
NX-MP-027,Password Reuse Prevention,Password Management,MEDIUM,FAIL,[FAIL] Required configuration not found: password history,0,3,"Enable password history to prevent reuse:
switch(config)# password history 5

This prevents users from reusing the last 5 passwords
",Cisco Hardening Guide | Management Plane
NX-MP-006,SSH Feature Enabled,Secure Management,CRITICAL,PASS,Found: feature ssh,10,10,"Enable SSH:
switch(config)# feature ssh
",Management Plane > SSH | CIS 1.3.1
NX-MP-007,SSH Key Configuration,Secure Management,CRITICAL,PASS,Found: ssh key rsa 2048,10,10,"Generate 2048-bit (or higher) RSA SSH key:
switch(config)# ssh key rsa 2048

For stronger security, use 4096-bit:
switch(config)# ssh key rsa 4096

Verify:
show ssh key
",Management Plane > SSH | CIS 1.3.2
NX-MP-008,Telnet Feature Disabled,Disable Unused Services,CRITICAL,PASS,Insecure configuration correctly absent,10,10,"Disable telnet (insecure plaintext protocol):
switch(config)# no feature telnet

Use SSH instead for all management access
",Management Plane > Disable Insecure Protocols | CIS 1.3.3
NX-MP-036,SSH X.509 Certificate Authentication,Secure Management,LOW,FAIL,[FAIL] Required configuration not found: ssh certificate,0,1,"Configure SSH certificate authentication:
switch(config)# ssh certificate <certificate-name>

This provides stronger authentication than passwords
",Cisco Hardening Guide | Management Plane
NX-MP-009A,Console Session Timeout Configured,Session Management,MEDIUM,PASS,Console configured correctly,3,3,"Configure console timeout:
switch(config)# line console
switch(config-console)# exec-timeout 10

Recommended: 10 minutes for console access
",Management Plane > Console Security | CIS 1.4.1
NX-MP-009B,Console Timeout Optimal Range,Session Management,LOW,PASS,Optimal value: 15 minutes (within 5-15 minutes range),1,1,"Adjust console timeout to optimal range (5-15 minutes):
switch(config)# line console
switch(config-console)# exec-timeout 10",Management Plane > Console Security | Best Practice
NX-MP-010A,VTY Session Timeout Configured,Session Management,MEDIUM,PASS,1 VTY line(s) configured correctly,3,3,"Configure VTY timeout:
switch(config)# line vty
switch(config-line)# exec-timeout 10

Recommended: 10 minutes for remote access
Verify: show running-config | section ""line vty""
",Management Plane > VTY Security | CIS 1.4.2
NX-MP-010B,VTY Timeout Optimal Range,Session Management,LOW,PASS,Optimal value: 15 minutes (within 5-15 minutes range),1,1,"Adjust VTY timeout to optimal range (5-15 minutes):
switch(config)# line vty
switch(config-line)# exec-timeout 10",Management Plane > VTY Security | Best Practice
NX-MP-010A,VTY Access-Class Applied,Session Management,HIGH,PASS,1 VTY line(s) configured correctly,5,5,"Apply access-class to VTY lines:
switch(config)# ip access-list VTY-ACCESS
switch(config-acl)# permit ip 10.1.1.0/24 any
switch(config)# line vty
switch(config-line)# access-class VTY-ACCESS in

This restricts management access to authorized networks only
",Management Plane > VTY Security | CIS 1.4.3
NX-MP-011,SNMPv3 Configuration,SNMP Security,HIGH,PASS,Found: snmp-server user ops network-admin auth md5 49775C263C36C4664E22DBDFEBB137BABA7A priv aes-128 52023309278237DCE0DC4C193210FE6F6DB7 localizedV2key,5,5,"Configure SNMPv3 with authentication and privacy:
switch(config)# snmp-server user admin network-admin auth sha <auth-password> priv aes-128 <priv-password>

This provides encrypted SNMP communications
",Management Plane > SNMP | CIS 1.5.1
NX-MP-012,SNMP Default Community Strings Disabled,SNMP Security,CRITICAL,PASS,Insecure configuration correctly absent,10,10,"Remove default SNMP communities:
switch(config)# no snmp-server community public
switch(config)# no snmp-server community private

Use SNMPv3 instead with strong authentication
",Management Plane > SNMP | CIS 1.5.2
NX-MP-033,SNMP Global Privacy Enforcement,SNMP Security,HIGH,PASS,Found: no snmp-server globalEnforcePriv,5,5,"Enforce privacy (encryption) for all SNMP communications:
switch(config)# snmp-server globalEnforcePriv

This ensures all SNMP traffic is encrypted, closing a common security gap
",Cisco Hardening Guide | Management Plane | CRITICAL Security Gap #5
NX-MP-034,RADIUS Over TLS,AAA Configuration,HIGH,FAIL,[FAIL] Required configuration not found: radius-server.*tls-version,0,5,"Configure RADIUS to use TLS:
switch(config)# radius-server host 10.1.1.1 tls-version tlsv1.3

This encrypts RADIUS communications
",Cisco Hardening Guide | Management Plane
NX-MP-035,LDAP Over TLS,AAA Configuration,HIGH,FAIL,[FAIL] Required configuration not found: ldap-server.*ssl-version,0,5,"Configure LDAP to use TLS:
switch(config)# ldap-server host 10.1.1.1 ssl-version tlsv1.3

Use port 636 (LDAPS) instead of port 389 (LDAP)
",Cisco Hardening Guide | Management Plane
NX-MP-013,Logging to Remote Server,Logging,HIGH,PASS,Found: logging server 10.253.182.93 5 port 514 use-vrf management facility kern,5,5,"Configure remote logging:
switch(config)# logging server 10.1.1.100 6 use-vrf management

Level 6 = informational (recommended minimum)
",Management Plane > Logging | CIS 1.6.1
NX-MP-014,Logging Source Interface,Logging,MEDIUM,PASS,Found: logging source-interface mgmt0,3,3,"Configure logging source interface:
switch(config)# logging source-interface loopback0

This ensures consistent source IP for syslog messages
",Management Plane > Logging | CIS 1.6.2
NX-MP-015,Logging Timestamp,Logging,MEDIUM,PASS,Found: logging timestamp milliseconds,3,3,"Configure logging with millisecond timestamps:
switch(config)# logging timestamp milliseconds

This provides precise timing for security event correlation
",Management Plane > Logging | CIS 1.6.3
NX-MP-016,Logging Facility,Logging,LOW,FAIL,[FAIL] Required configuration not found: ^logging facility,0,1,"Configure logging facility:
switch(config)# logging facility local7

This helps categorize syslog messages
",Management Plane > Logging
NX-MP-016A,Logging Level Configured,Logging,MEDIUM,PASS,Found: logging level urib 5,3,3,"Configure logging level:
switch(config)# logging level 5

Level 5 (notifications) is recommended minimum.",Management Plane > Logging
NX-MP-016B,Logging Level Optimal Range,Logging,LOW,PASS,Optimal value: 5 (within 4-6 range),1,1,"Adjust logging level to optimal range (4-6):
switch(config)# logging level 5

Levels: 4=warnings, 5=notifications, 6=informational",Management Plane > Logging | Best Practice
NX-MP-030,Console Logging Disabled,Logging,MEDIUM,PASS,Insecure configuration correctly absent,3,3,"Disable console logging:
switch(config)# no logging console

Console logging can impact performance during high event rates
Use remote syslog instead
",Cisco Hardening Guide | Management Plane
NX-MP-030A,SSH Session Timeout Configured,SSH Security,MEDIUM,FAIL,[FAIL] Required configuration not found: ^ssh timeout,0,3,"Configure SSH session timeout:
switch(config)# ssh timeout 600

This sets idle timeout for SSH sessions.",Management Plane > SSH
NX-MP-030B,SSH Timeout Optimal Range,SSH Security,LOW,FAIL,[FAIL] Configuration not found: ssh timeout,0,1,"Adjust SSH timeout to optimal range (300-900 seconds):
switch(config)# ssh timeout 600

Recommended: 600 seconds (10 minutes)",Management Plane > SSH | Best Practice
NX-MP-031,Monitor Logging Disabled,Logging,MEDIUM,FAIL,[FAIL] Insecure configuration found: logging monitor 5,0,3,"Disable or limit monitor logging:
switch(config)# no logging monitor
OR
switch(config)# logging monitor 6

High verbosity monitor logging can impact terminal sessions
",Cisco Hardening Guide | Management Plane
NX-MP-032,Logging to File Enabled,Logging,HIGH,PASS,Found: logging logfile messages 5 size 4194304 persistent threshold 0,5,5,"Configure local log file:
switch(config)# logging logfile messages 7 size 8388608

This provides local backup of logs for troubleshooting
",Cisco Hardening Guide | Management Plane
NX-MP-028,CDP Disabled on Untrusted Interfaces,Discovery Protocols,HIGH,PASS,Insecure configuration correctly absent,5,5,"HIGH RISK: CDP exposes sensitive device information!

Option 1 - Disable CDP globally (recommended):
switch(config)# no feature cdp

Option 2 - Disable on untrusted interfaces:
switch(config)# interface Ethernet1/1
switch(config-if)# no cdp enable

Why this matters:
- CDP reveals: hostname, IOS version, platform, IP addresses
- CDP packets are unencrypted and unauthenticated
- Useful for attackers during reconnaissance
- Not needed on customer-facing or untrusted interfaces

CIS recommendation: Disable unless required for network management
",Cisco Hardening Guide | Management Plane | CIS 1.7.1 | CRITICAL Security Gap #3
NX-MP-029,LLDP Transmit Disabled on Untrusted Interfaces,Discovery Protocols,MEDIUM,FAIL,[FAIL] Insecure configuration found: lldp transmit,0,3,"Disable LLDP transmit on untrusted interfaces:
switch(config)# interface Ethernet1/1
switch(config-if)# no lldp transmit

LLDP reveals device information like CDP
",Cisco Hardening Guide | Management Plane
NX-MP-029A,SSH Login Attempts Configured,SSH Security,MEDIUM,PASS,Found: ssh login-attempts 3,3,3,"Configure SSH login attempts limit:
switch(config)# ssh login-attempts 3

This limits failed login attempts before lockout.",Management Plane > SSH | CIS 1.3.5
NX-MP-029B,SSH Login Attempts Optimal Range,SSH Security,LOW,PASS,Optimal value: 3 attempts (within 2-5 attempts range),1,1,"Adjust SSH login attempts to optimal range (2-5):
switch(config)# ssh login-attempts 3",Management Plane > SSH | Best Practice
NX-MP-017,NTP Server Configuration,Time Synchronization,HIGH,PASS,Found: ntp server 10.251.4.4 use-vrf management,5,5,"Configure NTP servers:
switch(config)# ntp server 10.1.1.200 use-vrf management
switch(config)# ntp server 10.1.1.201 use-vrf management

Accurate time is critical for:
- Log correlation
- Certificate validation
- Security event analysis
",Management Plane > NTP | CIS 1.8.1
NX-MP-018,NTP Source Interface,Time Synchronization,MEDIUM,PASS,Found: ntp source-interface mgmt0,3,3,"Configure NTP source interface:
switch(config)# ntp source-interface loopback0

This ensures consistent source IP for NTP
",Management Plane > NTP | CIS 1.8.2
NX-MP-019,NTP Authenticate,Time Synchronization,HIGH,FAIL,[FAIL] Required configuration not found: ^ntp authenticate,0,5,"Enable NTP authentication:
switch(config)# ntp authenticate
switch(config)# ntp authentication-key 1 md5 <key> 7
switch(config)# ntp trusted-key 1
switch(config)# ntp server 10.1.1.200 key 1

This prevents NTP spoofing attacks
",Management Plane > NTP | CIS 1.8.3
NX-MP-020,Login Banner,Compliance,MEDIUM,PASS,Found: banner motd ^,3,3,"Configure login banner:
switch(config)# banner motd #
******************************************************************
*  AUTHORIZED ACCESS ONLY                                       *
*  Unauthorized access is prohibited and will be prosecuted.    *
******************************************************************
#
",Management Plane > Legal Notice | CIS 1.9.1
NX-MP-021,HTTP Server Disabled,Disable Unused Services,HIGH,PASS,Insecure configuration correctly absent,5,5,"Disable HTTP server (use HTTPS only):
switch(config)# no feature http-server

HTTP traffic is unencrypted and vulnerable to interception
",Management Plane > Disable Insecure Services | CIS 1.10.1
NX-MP-022,HTTPS Certificate,Secure Management,MEDIUM,PASS,Found: crypto ca lookup local,3,3,"If HTTPS is required, configure proper certificate:
switch(config)# crypto ca trustpoint HTTPS-CERT
switch(config-trustpoint)# crypto ca import HTTPS-CERT certificate

Verify: show crypto ca certificates
",Management Plane > HTTPS Security
NX-MP-023,FTP Feature Disabled,Disable Unused Services,HIGH,PASS,Insecure configuration correctly absent,5,5,"Disable FTP (insecure protocol):
switch(config)# no feature ftp

Use SCP/SFTP instead for file transfers
",Management Plane > Disable Insecure Services
NX-CP-001,Management ACL Configuration,Access Control,CRITICAL,PASS,Found: ip access-list 3,10,10,"Configure management ACL:
switch(config)# ip access-list MGMT-ACCESS
switch(config-acl)# permit ip 10.1.1.0/24 any
switch(config-acl)# deny ip any any log

Apply to management interfaces
",Control Plane > ACL | CIS 2.1.1
NX-CP-002,CoPP (Control Plane Policing),Rate Limiting,CRITICAL,FAIL,[FAIL] Required configuration not found: ^copp profile,0,10,"Enable CoPP:
switch(config)# copp profile strict

Or configure custom CoPP policy:
switch(config)# class-map type control-plane match-any COPP-CRITICAL
switch(config-cmap)# match access-group name CRITICAL-TRAFFIC
switch(config)# policy-map type control-plane COPP-POLICY
switch(config-pmap)# class COPP-CRITICAL
switch(config-pmap-c)# police cir 2000 kbps bc 250 ms
switch(config)# control-plane
switch(config-cp)# service-policy input COPP-POLICY

Verify: show policy-map interface control-plane
",Control Plane > CoPP | CIS 2.2.1
NX-CP-018,CoPP Template Selection,Rate Limiting,HIGH,FAIL,[FAIL] Required configuration not found: ^copp profile (strict|moderate),0,5,"Select appropriate CoPP template based on environment:

For production (recommended):
switch(config)# copp profile strict

For less sensitive environments:
switch(config)# copp profile moderate

Verify active CoPP:
show copp status
",Cisco Hardening Guide | Control Plane
NX-CP-003,BGP Password Authentication,Routing Security,HIGH,PASS,Found: no password strength-check,5,5,"Configure BGP password authentication:
switch(config)# router bgp 65001
switch(config-router)# neighbor 10.1.1.1 password <password>

Use strong passwords for all BGP neighbors
",Control Plane > BGP Security | CIS 2.3.1
NX-CP-004,OSPF Authentication,Routing Security,HIGH,FAIL,[FAIL] Required configuration not found: ip ospf authentication,0,5,"Configure OSPF authentication:
switch(config)# interface Ethernet1/1
switch(config-if)# ip ospf authentication message-digest
switch(config-if)# ip ospf message-digest-key 1 md5 <password>

Or globally:
switch(config-router)# area 0 authentication message-digest
",Control Plane > OSPF Security | CIS 2.3.2
NX-CP-005,EIGRP Authentication,Routing Security,HIGH,FAIL,[FAIL] Required configuration not found: ip authentication.*eigrp,0,5,"Configure EIGRP authentication:
switch(config)# interface Ethernet1/1
switch(config-if)# ip authentication mode eigrp 100 md5
switch(config-if)# ip authentication key-chain eigrp 100 EIGRP-KEY
",Control Plane > EIGRP Security | CIS 2.3.3
NX-CP-006,BGP Maximum Prefix Limit,Routing Security,HIGH,FAIL,[FAIL] Required configuration not found: maximum-prefix,0,5,"Configure BGP maximum-prefix:
switch(config)# router bgp 65001
switch(config-router)# neighbor 10.1.1.1 maximum-prefix 1000 75

This limits routes accepted from BGP neighbors
",Control Plane > BGP Security | CIS 2.3.4
NX-CP-007,BGP TTL Security,Routing Security,MEDIUM,FAIL,[FAIL] Required configuration not found: ttl-security,0,3,"Configure BGP TTL security:
switch(config)# router bgp 65001
switch(config-router)# neighbor 10.1.1.1 ttl-security hops 1

This prevents BGP session hijacking from distant hosts
",Control Plane > BGP Security
NX-CP-019,BGP Log Neighbor Changes in All BGP VRFs,Routing Security,HIGH,PASS,log-neighbor-changes configured in default BGP VRF (no additional BGP VRFs found),5,5,"Configure BGP log-neighbor-changes in all BGP VRFs:
For default/global BGP VRF:
switch(config)# router bgp 65001
switch(config-router)# log-neighbor-changes

For BGP-enabled VRFs (VRFs under router bgp):
switch(config)# router bgp 65001
switch(config-router)# vrf <vrf-name>
switch(config-router-vrf)# log-neighbor-changes

Note: This check only validates VRFs that have BGP configuration.
System VRFs without BGP (like management VRF) are not checked.

This provides visibility into BGP neighbor state changes for troubleshooting and security monitoring.
",Control Plane > BGP Security | Best Practice
NX-DP-011,IP Source Routing Disabled,IP Security,HIGH,PASS,Found: no ip source-route,5,5,"HIGH RISK: IP source routing allows attackers to control packet routing!

Disable IP source routing globally:
switch(config)# no ip source-route

Why this is critical:
- Allows sender to specify packet route through network
- Can bypass security controls and firewalls
- Enables spoofing and man-in-the-middle attacks
- Rarely needed in modern networks
- Should be disabled unless explicitly required

Verify:
show running-config | include ""no ip source-route""
",Cisco Hardening Guide | Data Plane | CIS 2.4.1 | CRITICAL Security Gap #4
NX-CP-014,ICMP Redirects Disabled,IP Security,MEDIUM,FAIL,"[FAIL] 75 interface(s) failed: interface Vlan1, interface Vlan136, interface Vlan308...",0,3,"Disable ICMP redirects on all interfaces:
switch(config)# interface Ethernet1/1
switch(config-if)# no ip redirects

ICMP redirects can be used for network manipulation
",Cisco Hardening Guide | Control Plane
NX-CP-015,ICMP Unreachables Disabled,IP Security,LOW,FAIL,"[FAIL] 82 interface(s) failed: interface Vlan1, interface Vlan111, interface Vlan136...",0,1,"Disable ICMP unreachables on external interfaces:
switch(config)# interface Ethernet1/1
switch(config-if)# no ip unreachables

This prevents information disclosure
",Cisco Hardening Guide | Control Plane
NX-CP-016,Proxy ARP Disabled,IP Security,MEDIUM,FAIL,"[FAIL] 82 interface(s) failed: interface Vlan1, interface Vlan111, interface Vlan136...",0,3,"Disable proxy ARP on interfaces:
switch(config)# interface Ethernet1/1
switch(config-if)# no ip proxy-arp

Proxy ARP can be exploited for man-in-the-middle attacks
",Cisco Hardening Guide | Control Plane
NX-CP-017,NTP Authentication Keys,Time Synchronization,MEDIUM,FAIL,[FAIL] Required configuration not found: ^ntp authentication-key,0,3,"Configure NTP authentication keys:
switch(config)# ntp authentication-key 1 md5 <strong-key> 7
switch(config)# ntp trusted-key 1
switch(config)# ntp server 10.1.1.200 key 1

Use strong, unique keys for NTP authentication
",Cisco Hardening Guide | Control Plane
NX-CP-008,ARP Inspection (DAI),Layer 2 Security,HIGH,PASS,Found: no ip arp inspection validate src-mac dst-mac ip,5,5,"Enable Dynamic ARP Inspection:
switch(config)# ip arp inspection vlan 10-20

Configure trusted interfaces:
switch(config)# interface Ethernet1/1
switch(config-if)# ip arp inspection trust

Verify: show ip arp inspection
",Control Plane > ARP Security | CIS 2.5.1
NX-CP-009,ARP Timeout,Layer 2 Security,LOW,PASS,Found: ip arp timeout 3600,1,1,"Configure ARP timeout:
switch(config)# ip arp timeout 300

Shorter timeouts reduce ARP cache poisoning window
",Control Plane > ARP Security
NX-CP-010,DHCP Snooping,Layer 2 Security,HIGH,PASS,Found: no ip dhcp snooping,5,5,"Enable DHCP snooping:
switch(config)# feature dhcp
switch(config)# ip dhcp snooping
switch(config)# ip dhcp snooping vlan 10-20

Configure trusted interfaces:
switch(config)# interface Ethernet1/1
switch(config-if)# ip dhcp snooping trust

Verify: show ip dhcp snooping
",Control Plane > DHCP Security | CIS 2.6.1
NX-CP-011,IPv6 First Hop Security,IPv6 Security,MEDIUM,PASS,Found: no ipv6 nd raguard,3,3,"Configure IPv6 first hop security:
switch(config)# ipv6 nd suppress-ra vlan 10-20
switch(config)# ipv6 snooping policy IPV6-SNOOP
switch(config-ipv6-snooping)# device-role switch

This prevents IPv6 neighbor discovery attacks
",Control Plane > IPv6 Security
NX-CP-012,Route Filtering,Routing Security,HIGH,PASS,Found: no system default route-map validate-applied,5,5,"Configure route filtering:
switch(config)# ip prefix-list ALLOWED-ROUTES permit 10.0.0.0/8
switch(config)# router bgp 65001
switch(config-router)# neighbor 10.1.1.1 prefix-list ALLOWED-ROUTES in

This prevents route hijacking and black holes
",Control Plane > Route Filtering
NX-CP-013,Routing Protocol Loop Prevention,Routing Security,MEDIUM,PASS,Found: distance 110,3,3,"Configure loop prevention mechanisms based on routing protocol

For EIGRP:
switch(config-if)# ip split-horizon eigrp 100

For BGP:
switch(config-router)# neighbor 10.1.1.1 maximum-prefix 1000
",Control Plane > Loop Prevention
NX-DP-001,Port Security,Port Security,HIGH,FAIL,[FAIL] Required configuration not found: switchport port-security,0,5,"Configure port security:
switch(config)# interface Ethernet1/1
switch(config-if)# switchport mode access
switch(config-if)# switchport port-security
switch(config-if)# switchport port-security maximum 2
switch(config-if)# switchport port-security violation restrict
switch(config-if)# switchport port-security mac-address sticky

Verify: show port-security
",Data Plane > Port Security | CIS 3.1.1
NX-DP-002,Trunk Native VLAN,VLAN Security,HIGH,FAIL,[FAIL] Required configuration not found: switchport trunk native vlan (?!1$),0,5,"Change trunk native VLAN from default:
switch(config)# interface Ethernet1/1
switch(config-if)# switchport trunk native vlan 999

Use an unused VLAN for native VLAN
",Data Plane > VLAN Security | CIS 3.2.1
NX-DP-003,VLAN Access Lists (VACLs),VLAN Security,MEDIUM,FAIL,[FAIL] Required configuration not found: vlan access-map,0,3,"Configure VACLs:
switch(config)# vlan access-map VLAN-FILTER 10
switch(config-access-map)# match ip address ACL-FILTER
switch(config-access-map)# action forward
switch(config)# vlan filter VLAN-FILTER vlan-list 10

Verify: show vlan access-map
",Data Plane > VLAN Security | CIS 3.2.2
NX-DP-004,DTP Disabled,VLAN Security,HIGH,FAIL,"[FAIL] 71 interface(s) failed: interface Vlan1, interface Vlan111, interface Vlan136...",0,5,"Disable DTP negotiation:
switch(config)# interface Ethernet1/1
switch(config-if)# switchport nonegotiate

Manually configure trunk/access mode
",Data Plane > VLAN Security
NX-DP-005,Broadcast Storm Control,Storm Control,MEDIUM,PASS,Found: storm-control broadcast level 100.00,3,3,"Configure broadcast storm control:
switch(config)# interface Ethernet1/1
switch(config-if)# storm-control broadcast level 10

This limits broadcast traffic to 10% of bandwidth
",Data Plane > Storm Control | CIS 3.3.1
NX-DP-006,Multicast Storm Control,Storm Control,MEDIUM,PASS,Found: storm-control multicast level 100.00,3,3,"Configure multicast storm control:
switch(config)# interface Ethernet1/1
switch(config-if)# storm-control multicast level 10
",Data Plane > Storm Control | CIS 3.3.2
NX-DP-007,Private VLAN Configuration,VLAN Security,LOW,FAIL,[FAIL] Required configuration not found: private-vlan,0,1,"Configure Private VLANs for layer 2 isolation:
switch(config)# feature private-vlan
switch(config)# vlan 100
switch(config-vlan)# private-vlan primary
switch(config-vlan)# private-vlan association 101
switch(config)# vlan 101
switch(config-vlan)# private-vlan isolated

This provides intra-VLAN security
",Data Plane > VLAN Security
NX-DP-008,Unicast RPF,Anti-Spoofing,HIGH,FAIL,[FAIL] Required configuration not found: ip verify unicast source reachable-via,0,5,"Configure Unicast RPF:
switch(config)# interface Ethernet1/1
switch(config-if)# no switchport
switch(config-if)# ip verify unicast source reachable-via rx

This prevents IP spoofing attacks
",Data Plane > Anti-Spoofing | CIS 3.4.1
NX-DP-009,IP Source Guard,Anti-Spoofing,HIGH,PASS,Found: no ip verify source dhcp-snooping-vlan,5,5,"Configure IP Source Guard:
switch(config)# interface Ethernet1/1
switch(config-if)# ip verify source dhcp-snooping-vlan

Requires DHCP snooping to be enabled
Verify: show ip verify source
",Data Plane > Anti-Spoofing | CIS 3.4.2
NX-DP-012,IP Directed Broadcast Disabled,IP Security,MEDIUM,FAIL,"[FAIL] 82 interface(s) failed: interface Vlan1, interface Vlan111, interface Vlan136...",0,3,"Disable IP directed broadcast:
switch(config)# interface Ethernet1/1
switch(config-if)# no ip directed-broadcast

This prevents Smurf attacks
",Cisco Hardening Guide | Data Plane
